,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
101,-134.20496478572593,49.502067300141306,101.0,prince rupert,9.17,42.8,81.0,90.0
102,18.173073923035247,46.18654925100881,102.0,komlo,3.36,73.4,25.0,0.0
103,110.787885609525,-25.416141917488403,103.0,carnarvon,10.42,74.11,24.0,0.0
104,45.79303954371494,-19.162994985216812,104.0,tsiroanomandidy,2.26,67.18,87.0,48.0
105,-102.72687328390266,-45.7448712663787,105.0,castro,10.31,54.22,93.0,92.0
106,21.362963422271207,87.67641696617937,106.0,longyearbyen,13.87,26.6,79.0,90.0
114,112.56818402954639,88.92434831054277,114.0,saskylakh,10.25,9.13,70.0,0.0
115,63.37799885250996,-28.68381107489496,115.0,mahebourg,12.75,80.6,74.0,75.0
117,-2.623639340587715,-36.34886193478268,117.0,luderitz,8.79,64.93,86.0,0.0
119,135.72700952455023,39.4609073961297,119.0,wajima,6.33,56.11,83.0,0.0
122,173.029841772012,-46.643667545041396,122.0,waitati,17.69,43.51,75.0,8.0
123,-116.92716343190943,59.87970467433854,123.0,high level,4.7,39.2,60.0,90.0
124,-76.2516453952483,-4.173232293721853,124.0,barranca,2.53,64.21,99.0,64.0
125,42.15868974412882,8.042837957516781,125.0,harer,3.53,42.34,49.0,0.0
126,15.750178885333128,53.88580580997407,126.0,swidwin,11.41,62.6,36.0,0.0
127,-116.22688819012308,-8.556859276305346,127.0,atuona,17.18,80.95,100.0,0.0
128,-163.48213642761527,-42.5288892440346,128.0,avarua,15.35,78.88,100.0,24.0
132,120.15733484083768,26.25078384520539,132.0,jiaocheng,2.59,68.35,79.0,44.0
135,123.18083934359731,71.73033507557943,135.0,zhigansk,3.98,20.47,78.0,68.0
136,95.6939028501539,58.31693584444224,136.0,motygino,8.52,44.23,76.0,92.0
138,166.07790124943494,29.40420816376937,138.0,severo-kurilsk,15.57,30.82,100.0,92.0
141,-78.2459911851235,11.324792023953648,141.0,tigre,6.93,71.6,83.0,75.0
142,-105.75541582760768,57.43573324713523,142.0,la ronge,5.82,39.2,80.0,75.0
143,-96.14309197929921,53.91003021120437,143.0,thompson,5.82,42.8,52.0,20.0
144,-19.722727001530814,44.690822638424066,144.0,vila franca do campo,12.75,66.2,72.0,75.0
145,155.90981366303959,-22.01061354376033,145.0,hervey bay,11.77,71.86,100.0,32.0
147,29.66205500532402,-47.39089192389351,147.0,port alfred,10.92,74.29,78.0,36.0
148,112.83312307826782,-12.119301438843678,148.0,ambulu,4.27,77.8,100.0,92.0
149,-20.384201646170936,-44.05244658993118,149.0,arraial do cabo,9.17,79.68,65.0,40.0
150,17.5659114694829,-42.30104241833291,150.0,hermanus,4.21,70.96,41.0,0.0
151,167.30128288797454,-35.54213425599569,151.0,ahipara,13.15,62.41,100.0,92.0
152,-64.75667715089209,51.306817970956786,152.0,havre-saint-pierre,11.41,35.6,55.0,75.0
154,-109.20695731063836,1.9343109175153756,154.0,ixtapa,2.48,73.57,63.0,24.0
155,-128.46197063050295,48.81330886263504,155.0,port hardy,5.82,39.2,93.0,75.0
156,34.53281312115658,-69.91182102773038,156.0,port elizabeth,9.17,48.81,42.0,1.0
158,-102.23508476671175,42.31010051693653,158.0,scottsbluff,3.36,33.8,100.0,90.0
160,6.5021287174132,-8.366135961156786,160.0,soyo,7.0,89.86,55.0,68.0
161,70.99805299313226,-46.890769402501085,161.0,souillac,8.05,82.4,28.0,0.0
163,6.902853423648793,37.57507191764802,163.0,constantine,9.17,73.4,56.0,40.0
165,152.98594184487223,-18.29287008548988,165.0,mackay,3.36,37.4,64.0,90.0
166,-73.91417225049656,-9.27236112820681,166.0,pucallpa,4.7,78.8,83.0,75.0
167,174.34994676315603,-63.85964820478645,167.0,kaitangata,18.59,45.04,79.0,48.0
168,-121.76510711856764,64.18654167855448,168.0,norman wells,4.7,8.6,71.0,75.0
171,81.65914836116366,-32.539691989233496,171.0,bambous virieux,12.75,80.6,74.0,75.0
174,-79.16775494361652,40.86380727162873,174.0,indiana,3.09,40.96,52.0,1.0
